skill	*Id	*Laz2	*Laz/Level	*Laz	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	*Laz/Damage at 1	*Laz/Damage at 10	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Interrogate the Dead Proc	15	necromancer		Must have a reasonable ID				28													necrocorpsespawner	necrocorpsespawner	necrocorpsespawner																																																																							28						necrocorpsespawner												1	0		none												SC	SC	xx					0															1									1															0	0					0	8	0	0	1																																			1								8																																							0	0
Prepare for Glory Proc	16	amazon		Must have a reasonable ID				28													prepareforglorycenter	prepareforglorycenter	prepareforglorycenter																																																							1	object_stone_large															28						prepareforglorycenter												1	0		none												SC	SC	xx					4															1						object_stone_large			1															0	0					0	8	0	0	1																																			1								8	32														stun																25				skill('Prepare for Glory'.ln34)				0	0
Covenant Proc	17	paladin		Must have a reasonable ID				6																		73730		covenant	skill('Covenant'.par7)	par8	damagepercent	skill('Covenant'.ln12)	item_tohit_percent	skill('Covenant'.ln34)																																																																														1	0		none												SC	SC	SC																				1									1															0	0					0	8	0	0	1																																	40	range	1								8																																							0	0
Martial Cadence Proc	18	amazon		Must have a reasonable ID				30																		3		martialcadenceproc	skill('Martial Cadence'.par8)	0	item_tohit_percent	(-1)*skill('Martial Cadence'.dm12)																																																														30																		1	0		none												SC	SC	xx					4															1									1															0	0					0	8	0	0	1																																			1								8																																							0	0
Impale	19					impale	7	2																																																																							amazon_impale_1		1	1																														1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1														12	20					Jab									1	1		1			1	8	3	0	1											ln12	Damage %	par6-dm34	Durability loss chance %	par5	Durability loss amount	0	% Damage Dealt as Elemental (Used only if there is an Etype)	300	Damage % baseline	25	Damage % per level	0	% chance reduction for Durability loss Min	30	% chance reduction for Durability loss Max	1	Durability loss amount	50	% chance for Durability loss Base					1	100	25						8	128																																					512	8000	0
Lightning Bolt	20					lightning bolt	4											lightningjavelin	1																																																																										11						lightningjavelin													1	6		rng		jave										TH	TH	xx																													12	20					Poison Javelin									1	1					1	6	24	1	1																																	3	Damage synergy	1								8	96														ltng	1	0	0	0	0	0	40	12	18	28	48	88	(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8	20,5	74,5								512	8000	0
Ice Arrow	21					ice arrow	4											icearrow	1																																																																										11						icearrow													1	6		rng		miss										A1	A1	xx				1																									18	20					Cold Arrow									1	1					1	6	16	1	1																															5	Freeze Length synergy	8	Damage synergy	1	20	9						8	128														cold	6	6	12	18	26	36	10	6	13	19	27	38	(skill('Cold Arrow'.blvl))*par8			50	5	5	5	(skill('Freezing Arrow'.blvl)) * par7			640	16000	0
Guided Arrow	22					guided arrow	4	10											1		guidedarrow	guidedarrow	guidedarrow																																																																						11	18						guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1																									18	20					Cold Arrow	Multiple Shot								1	1					1	6	32	-1	1											ln34	Damage %											0	Damage % baseline	5	Damage % per level									1								8	128																																					640	16000	0
Penetrate	23					penetrate																																											penetrate			item_tohit_percent	ln12																																																											1	1		rng		spea	miss											xx																													18	20					Critical Strike									0	0					0	8	0	0	1								1											35	% Chance baseline	10	% Chance per level													1								8																																						640	16000	0
Charged Strike	24					charged strike	6	11													chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																							19						chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1														18	20					Power Strike	Lightning Bolt								1	1					1	6	16	1	1											par1+lvl/par2	# of Bolt Missiles created					0	% Damage Dealt as Elemental (Used only if there is an Etype)	3	# of Charged Bolt Missiles created baseline	5	Charged Bolt Missile created per N levels											10	Damage synergy	1								8															ltng	1	0	0	0	0	0	30	12	16	20	24	28	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8	15,5	69,5								640	16000	0
Plague Javelin	25					plague javelin	4											plaguejavelin	1																																																												amazon_cast_poison		1												11						plaguejavelin													1	3		rng		jave										TH	TH	xx				1																									18	20					Lightning Bolt							100	100	1	1			1		1	7	14	1	1																																	10	Damage synergy	1	30	9						3	128														pois	10	6	12	20	40	60	16	6	12	20	40	60	(skill('Poison Javelin'.blvl))*par8	0,40625	67	75	10	10	10				640	16000	0
Strafe	26					strafe	8	12													strafearrow	strafebolt								par5																																																	amazon_dodge_1					paladin_charge									13	20						multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1																									24	20					Guided Arrow									1	1					1	8	11	0												min(par3 + lvl - 1, par4)	Minimum # of Missiles created	ln12	Damage %	2+lvl/4	Maximum # of Missiles created			5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback					1								8	96																																					768	32000	0
Immolation Arrow	27					immolation arrow	4											immolationarrow	1																																																																										11						immolationarrow													1	6		rng		miss										A1	A1	xx				1																									24	20					Exploding Arrow							25	25	1	1					1	7	12	1	1											par1	Radius of Disc of Missiles	par2	Explosion Damage Radius					3	Radius of Disc of Missiles	4	Explosion Damage Radius											10	Damage synergy	1	30	9						8	128														fire	12	12	23	34	36	38	23	12	23	34	36	38	(skill('Exploding Arrow'.blvl)) * par8	17,5	125,5								768	32000	0
Dopplezon	28					dopplezon		15																			dopplezon				fireresist	min(lvl*par7,85)	lightresist	min(lvl*par7,85)	coldresist	min(lvl*par7,85)	poisonresist	min(lvl*par7,85)																								dopplezon	dopplezon	1	NU												dopllezon_appear		amazon_valkyrie_cast																																	1	4		none												SC	SC	xx					4																								24	20					Slow Missiles									0	1					1	6	76	-3	1											lvl*par4	HP %	ln12	Duration	par3	HP % derived from caster			250	Duration baseline	125	Duration per level	50	HP % derived from caster	10	HP % bonus per level					4	Resistance % bonus per level			1								8																																						768	32000	0
Evade	29					evade																																											evade			passive_evade	dm12																										amazon_dodge_1																																	1	0		h2h												S1	S1	xx																													24	20					Avoid									0	0					0	8	0	0	1								1											10	Min % Chance	65	Max % Chance													1								8																																						768	32000	0
Fend	30					fend	9	13																																																																								amazon_jab_1	1												14	21																		1	0		h2h		spea										A1	A1	xx	9		1			1	1								1														24	20					Impale									1	1					1	8	5	0												12	# of max targets	ln34	Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)	1	# of max targets per level	60	% Anim frame rollback	70	Damage % baseline	10	Damage % per level									1	40	10						8	128																																					768	32000	0
Freezing Arrow	31					freezing arrow	4											freezingarrow	1																																																																										11						freezingarrow													1	7		rng		miss										A1	A1	xx				1																									30	20					Ice Arrow									1	1					1	7	18	1	1											par1	Damage Radius							5	Radius of impact											5	Freeze Length synergy	12	Damage synergy	1	40	9						8	128														cold	40	10	15	20	22	24	50	10	15	20	22	24	(skill('Cold Arrow'.blvl))*par8			50				(skill('Ice Arrow'.blvl)) * par7			896	64000	0
Valkyrie	32					valkyrie		16																							strength	lvl * par2	dexterity	lvl * par4	fireresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)	lightresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)	coldresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)	poisonresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)										item_armor_percent	par3 * (lvl - 1)	tohit	toht							valkyrie	valkyrie	1	NU	dodge	skill('Dodge'.blvl)	avoid	skill('Avoid'.blvl)	Evade	skill('Evade'.blvl)	Critical Strike	skill('Critical Strike'.blvl)						amazon_valkyrie_cast																																	1	6		none												SC	SC	xx					4															1									30	20					Dopplezon	Evade						150	150	0	1					1	8	25	1	1	1										par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8	HP %	ln56	Valkyrie Item Level					20	HP % per level	25	Strength per level	10	Armor % per level	12	Dexterity per level	25	Valkyrie Item Level baseline	3	Valkyrie Item Level per level	2	Resistance % per level	20	HP % synergy	1			40*lvl+40*skill('Penetrate'.blvl)					8																																						896	64000	0
Pierce	33					pierce																																											pierce			skill_pierce	dm12																																																											1	0		rng		miss												xx																													30	20					Penetrate									0	0					0	8	0	0	1	1							1											10	Min % Chance	100	Max % Chance													1								8																																						896	64000	0
Lightning Strike	34					lightning strike	10	14													lightningstrike	lightningstrike	lightningstrike							par1																																																																  						lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1														30	20					Charged Strike									1	1					1	8	9	0	1											20	Range of Bolt Missiles	ln34	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)	20	Radius of jump to next target			2	# of target jump hits baseline	1	# of target jump hits per level							8	Damage synergy	1								8															ltng	1	0	0	0	0	0	25	10	15	20	25	30	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8										896	64000	0
Lightning Fury	35					lightning fury	4											lightningfury	1							42371				par3																																																															11						lightningfury													1	8		rng		jave										TH	TH	xx																													30	20					Plague Javelin									1	1					1	7	20	1	1											ln12	# of furylightning Missiles created							2	# of Lightning Missiles created baseline	1	# of Lightning Missiles created per level	15	Target Search Radius									1	Damage synergy	1								8	128														ltng	1	0	0	0	0	0	40	20	30	40	50	50	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Strike'.blvl)) * par8										896	64000	0
Fire Bolt	36					fire bolt												firebolt																																																													sorceress_cast_fire											fire_cast_1									firebolt													1	2		none												SC	SC	xx																				1						sorceress_cast_fire			1	20														1	1					1	7	5	0	1																																	16	Damage synergy	1								7															fire	6	3	4	8	18	54	12	3	6	10	20	56	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8	4,5	18								256	1000	0
Warmth	37					warmth																																											warmth			manarecoverybonus	ln12																																																											1	0		none												SC	SC	xx																													1	20														0	0					0	8	0	0	1	1							1											30	Mana Recovery % baseline	12	Mana Recovery % per level													1								8															fire																							256	1000	0
Charged Bolt	38					charged bolt		17													chargedbolt	chargedbolt	chargedbolt																																																								sorceress_cast_lightning											light_cast_1				23						chargedbolt												1	1		none												SC	SC	xx																				1						sorceress_cast_lightning			1	20														1	1					1	5	24	4	1											min(24,ln12)	# of Bolt Missiles created							3	# of Bolt Missiles created baseline	1	# of Bolt Missiles created per level											6	Damage synergy	1								7															ltng	4	1	1	2	3	4	8	1	1	2	3	4	(skill('Lightning'.blvl))*par8	3	7,5								256	1000	0
Ice Bolt	39					ice bolt												icebolt																																																													sorceress_cast_cold											ice_cast_1									icebolt													1	5		none												SC	SC	xx																				1						sorceress_cast_cold			1	20														1	1					1	8	3	0	1																																	15	Damage synergy	1								7															cold	6	2	4	6	8	10	10	3	5	7	9	11	(skill('Frost Nova'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	4	15,25	150	35	35	35				256	1000	0
Frozen Armor	40					frozen armor		18																			frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											damagedinmelee	2																																			sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																					1	0		none												SC	SC	xx																				1						sorceress_cast_cold	ice_cast_1		1	20														0	1					1	8	7	0	1	1										ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	Freeze Length							30	Armor % baseline	5	Armor % per level	3000	Buff Duration	300	Buff Duration per level	30	Freeze Length baseline	3	Freeze Length per level	250	Buff Duration synergy	5	Freeze Length synergy	1								8																																				1		256	1000	0
Inferno	41					inferno	11	19													infernoflame1	infernoflame1	infernoflame1							ln12/4-2																																																															15	24						infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10																											6	20														1	1	1			6	0	2	36	1	1											ln12/2	Range (Duration of Missile) (Min=1)	20	Duration to channel if caster is a Monster (Min=1)					20	Range baseline (Duration of missile)	3	Range per level (Duration of missile)	6	Min Mana required to start casting									13	Damage synergy	1								2															fire	32	24	26	28	32	36	64	24	27	29	33	37	(skill('Warmth'.blvl))*par8	0,75	4,125								384	3000	0
Static Field	42					static field		20																		34691				ln12																																																	sorceress_cast_lightning											light_cast_1																						1	10		none												SC	SC	xx					4															1						sorceress_cast_lightning			6	20														0	1					1	8	9	0	1											par4	HP % Damage	par3	Minimum Damage value					5	Radius baseline	1	Radius per level	0	Minimum Damage value	25	HP % Damage									1								8															ltng																							384	3000	0
Telekinesis	43					telekinesis	12	21																						par1																																																	sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																						1	10		none												SC	SC	xx														1												sorceress_telekinesis			6	20														0	1					1	8	7	0	1	1										par2	% chance to knockback/stun							25	Cast Range	35	% chance to knockback/stun													1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1											384	3000	0
Frost Nova	44					frost nova		22													frostnova	frostnova	frostnova																																																								sorceress_cast_cold											ice_cast_2				25						frostnova				0	Missile Velocity Adder							1	6		none												SC	SC	SC																				36	10					sorceress_cast_cold			6	20														0	1					1	8	9	1	1											0	Missile Velocity Adder																					10	Damage synergy	1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13	(skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	3	23,25	200	25	25	25				384	3000	0
Ice Blast	45					ice blast												iceblast																																																													sorceress_cast_cold											ice_cast_1									iceblast													1	6		none												SC	SC	xx																				1						sorceress_cast_cold			6	20					Ice Bolt									1	1					1	7	12	1	1																			75	Freeze Length baseline	5	Freeze Length per level									10	Freeze Length synergy	8	Damage synergy	1								7															cold	16	14	28	42	56	70	24	15	29	43	57	71	(skill('Ice Bolt'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	10	75,25	75	5	5	5	(skill('Glacial Spike'.blvl))*par7			384	3000	0
Blaze	46					blaze		23													blaze	blaze	blaze				blaze		dm12																																																		sorceress_cast_fire											fire_cast_2									blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																				1									12	20					Inferno									0	1					1	7	22	1	1																			50	Buff Duration Min	500	Buff Duration Max									1	Damage synergy	4	Damage synergy	1								4															fire	4	2	3	4	6	9	8	2	3	4	6	9	skill('Warmth'.blvl)*par8+skill('Fire Wall'.blvl)*par7	0,375									512	8000	0
Fire Ball	47					fire ball												fireball																																																													sorceress_cast_fire											fire_cast_2									fireball													1	5		none												SC	SC	xx																				1						sorceress_cast_fire			12	20					Fire Bolt									1	1					1	7	10	1	1											par1	Explosion Radius							4	Explosion Radius													14	Damage synergy	1								7															fire	12	3	3	3	3	3	24	6	6	6	6	6	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)										512	8000	0
Nova	48					nova		22													nova	nova	nova																																																								sorceress_cast_lightning											light_cast_1				25						nova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																				36	10					sorceress_cast_lightning			12	20					Static Field									0	1					1	8	15	1	1											0	Missile Velocity Adder																							1								8															ltng	1	6	7	8	9	10	20	8	9	10	11	12		10,5	73,5								512	8000	0
Lightning	49					lightning												lightningbolt																																																													sorceress_cast_lightning											light_cast_1									lightningbolt													1	6		none												SQ	SC	xx	12			1																1						sorceress_cast_lightning			12	20					Charged Bolt									1	1					1	7	16	1	1																																	8	Damage synergy	1								8															ltng	1	0	0	0	0	0	40	8	12	20	28	36	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8	20,5	56,5								512	8000	0
Shiver Armor	50					shiver armor		18																			shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											attackedinmelee	3																																			sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit									sparkle				10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none												SC	SC	xx																										sorceress_cast_cold	ice_cast_3		12	20					Ice Blast	Frozen Armor								0	1					1	8	11	0	1	1																		45	Armor % baseline	6	Armor % per level	3000	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	9	Damage synergy	1								7															cold	12	4	6	8	10	12	16	5	7	9	11	13	(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	7	27,25	100		25	50				512	8000	0
Fire Wall	51					fire wall		24													firewallmaker	firewall																																																									sorceress_cast_fire											fire_cast_2				26						firewallmaker												1	4		none												SC	SC	SC					4				1											1						sorceress_cast_fire			18	20					Blaze							35	35	0	1					1	8	22	1	1											par1	# of max Fire Walls (oldest is removed when the limit is hit)							0	# of max Fire Walls (oldest is removed when the limit is hit)											1	Damage synergy	4	Damage synergy	1								4															fire	15	9	14	21	21	21	20	9	14	21	21	21	(skill('Warmth'.blvl)*par8+skill('Inferno'.blvl)*par7	1,09375	6,15625								640	16000	0
Enchant	52					enchant		25																			enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																											sorceress_enchant																																	1	4		none												SC	SC	xx												1	1							1			1			sorceress_enchant			18	20					Warmth	Fire Ball								0	1					1	8	25	1	1	1																		3600	Buff Duration baseline	600	Buff Duration per level	33	% Damage for Ranged Weapons									9	Damage synergy	1	20	9						7															fire	16	3	7	11	15	19	20	5	9	13	17	21	(skill('Warmth'.blvl))*par8	9	27								640	16000	0
