ItemType	*Laz/Id	*Laz/Sockets	*Laz/Comment	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Barbarian Item	61			barb	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		bar	0								0
Necromancer Item	62			necr	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		nec	0								0
Paladin Item	63			pala	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		pal	0								0
Sorceress Item	64			sorc	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		sor	0								0
Assassin Item	65			assn	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		ass	0								0
Druid Item	66			drui	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		dru	0								0
Hand to Hand	67			h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4		ass	0							weap	0
Orb	68			orb	rod		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Voodoo Heads	69			head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Auric Shields	70			ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Primal Helm	71			phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Pelt	72			pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Cloak	73			cloa	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	4			0							armo	0
Rune	74			rune	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Circlet	75			circ	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Healing Potion	76			hpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Mana Potion	77			mpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Rejuv Potion	78			rpot	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Stamina Potion	79			spot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Antidote Potion	80			apot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Thawing Potion	81			wpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Small Charm	82			scha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invch1	invch4	invch7				misc	0
Medium Charm	83			mcha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invch2	invch5	invch8				misc	0
Large Charm	84			lcha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invch3	invch6	invch9				misc	0
Amazon Bow	85			abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	2	25	4	40	6	1	4			0							weap	0
Amazon Spear	86			aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Amazon Javelin	87			ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	0	25	0	40	0	0	4			0							misc	0
Hand to Hand 2	88			h2h2	h2h		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Magic Bow Quiv	89		Enable	mboq	bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Magic Xbow Quiv	90		Enable	mxbq	xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Chipped Gem	91			gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Flawed Gem	92			gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Standard Gem	93			gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Flawless Gem	94			gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Perfect Gem	95			gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Amethyst	96			gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Diamond	97			gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Emerald	98			geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Ruby	99			gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Sapphire	100			gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Topaz	101			gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Skull	102			gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Placeholder 103	103		placeholder	p103			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 104	104		placeholder	p104			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 105	105		placeholder	p105			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 106	106		placeholder	p106			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 107	107		placeholder	p107			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 108	108		placeholder	p108			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 109	109		placeholder	p109			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 110	110		placeholder	p110			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 111	111		placeholder	p111			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Mask	112		New item class	mask	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	4	0	4			0							armo	0
Scythe	113		New item class	scyh	pole		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Necromancer Scythe	114		New item class	nscy	scyh		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Assassin Throwing Knife	115		New item class	atkn	assn	tkni	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	2	40	2	0	4			0							misc	0
Barbarian Throwing Axe	116		New item class	btax	barb	taxe	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	2	40	2	0	4			0							misc	0
Druid Club	117		New item class	dclu	drui	club	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	2	0	4			0							weap	0
Paladin Scepter	118		New item class	pasc	pala	scep	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Barbarian 1h Axe	119		New item class	boax	barb	aaxe	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Barbarian 2h Axe	120		New item class	bbax	barb	aaxe	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Swashbuckler Blade	121		New item class	blad	swor		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Paladin 1h Sword	122		New item class	pasd	pala	swor	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Barbarian 2h Sword	123		New item class	bats	barb	swor	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Paladin Mace	124		New item class	pama	pala	mace	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Assassin Naginata	125		New item class	nagi	assn	pole	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Druid Bow	126		New item class	dbow	drui	bow	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	2	25	4	40	6	1	4			0							weap	0
Paladin Crossbow	127		New item class	pxbw	pala	xbow	1	1	rarm	larm	xboq		0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Amazon Helm	128		New item class	ahlm	helm	amaz	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Crusader Helm	129		New item class	chlm	helm	pala	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Sorceress Armor	130		New item class	stor	sorc	tors	1	1	tors	tors			0	0	0	0		1	0	0	1	25	3	40	4	0	4			0							armo	0
Barbarian Shield	131		New item class	bshi	barb	shie	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Mage Shield	132		New item class	ashi	shie		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Stun Hammer	133		Unused	sham	hamm		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Necromancer Shield	134		New item class	nxsh	necr	shie	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	4	0	4			0							armo	0
Necromancer Helm	135		New item class	nxhm	necr	helm	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Crystal Sword	136	4 sockets	New item class	crsx	sorc	swor	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	3	40	4	0	4			0							weap	0
Spiked Shield	137		New item class	sksd	shld		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Crown	138		New item class	cron	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Melee Axe	139		Because axe is also a base item	aaxe	axe		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Crushing Weapon	140		Contains maces and hammers	bonk	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Trinket	141		Most ingredients	trin	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Any Jewelry	142		Amulets and rings	anyj			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Any Weapon or Armor	143		Weapons and armor	anyx			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Ashes Magical	144		Ashes	dusm	dust		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Ashes Combat	145		Ashes	dusc	dust		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Ashes Physical	146		Ashes	dusp	dust		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Ashes Elemental	147		Ashes	duse	dust		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Ashes	148		Ashes base type	dust			0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Trophy	149		All charm type items	ggwp	char		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Enchantment Throwing Knife	150		Enchantment	trtk	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Enchantment Throwing Axe	151		Enchantment	trta	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Staff	152		Enchantment	trst	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Wand	153		Enchantment	trwa	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Orb	154		Enchantment	tror	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Scepter	155		Enchantment	trsc	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Sword	156		Enchantment	trsd	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Axe	157		Enchantment	trax	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Crushing	158		Enchantment	trbo	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Spear	159		Enchantment	trsp	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Scythe	160		Enchantment	trsx	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Polearm	161		Enchantment	trpo	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Knife	162		Enchantment	trkn	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Xbow	163		Enchantment	trxb	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Bow	164		Enchantment	trbw	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Helm	165		Enchantment	trhe	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Shield	166		Enchantment	trsh	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Torso	167		Enchantment	trto	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Belt	168		Enchantment	trbe	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Boot	169		Enchantment	trbo	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Glove	170		Enchantment	trgl	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment Claw	171		Enchantment	trcl	ench		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Enchantment	172		Enchantment base type	ench	trin		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Disenchantment Scroll 1	173		Disenchantment scroll	disa	disi		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Disenchantment Scroll 2	174		Disenchantment scroll	disb	disi		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Disenchantment Scroll 3	175		Disenchantment scroll	disc	disi		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Disenchantment Scroll 4	176		Disenchantment scroll	disd	disi		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Disenchantment Scroll	177		Disenchantment scroll base type	disi	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Ingredient Fang	178		Automagic for fang	dfan	trin		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Crafting Scroll	179		Automagic for crafting scroll	crai	trin		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb1	180		Crafting herb	wd01	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb2	181		Crafting herb	wd02	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb3	182		Crafting herb	wd03	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb4	183		Crafting herb	wd04	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb5	184		Crafting herb	wd05	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb6	185		Crafting herb	wd06	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb7	186		Crafting herb	wd07	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb8	187		Crafting herb	wd08	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb9	188		Crafting herb	wd09	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb10	189		Crafting herb	wd10	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb11	190		Crafting herb	wd11	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb12	191		Crafting herb	wd12	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb13	192		Crafting herb	wd13	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb14	193		Crafting herb	wd14	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb15	194		Crafting herb	wd15	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb16	195		Crafting herb	wd16	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb17	196		Crafting herb	wd17	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb18	197		Crafting herb	wd18	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb19	198		Crafting herb	wd19	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb20	199		Crafting herb	wd20	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb21	200		Crafting herb	wd21	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb22	201		Crafting herb	wd22	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb23	202		Crafting herb	wd23	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb24	203		Crafting herb	wd24	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb25	204		Crafting herb	wd25	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb26	205		Crafting herb	wd26	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb27	206		Crafting herb	wd27	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb28	207		Crafting herb	wd28	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb29	208		Crafting herb	wd29	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb30	209		Crafting herb	wd30	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb31	210		Crafting herb	wd31	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb32	211		Crafting herb	wd32	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb33	212		Crafting herb	wd33	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb34	213		Crafting herb	wd34	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb35	214		Crafting herb	wd35	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb36	215		Crafting herb	wd36	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb37	216		Crafting herb	wd37	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb38	217		Crafting herb	wd38	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb39	218		Crafting herb	wd39	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Herb40	219		Crafting herb	wd40	cher		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Crafting Herb	220		Crafting herb base type	cher			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Placeholder 221	221			p221			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder 222	222			p222			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder 223	223			p223			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder 224	224			p224			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder 225	225			p225			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Placeholder 226	226			p226			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
